author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260488/;Москва;sale;flat;2;45;-1;202.0;111141;22450632;2026;-1;-1;+74951348411;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
ASTERUS;developer;https://www.cian.ru/sale/flat/274202055/;Москва;sale;flat;2;26;-1;202.0;79815;16122800;2023;-1;-1;+74951374983;Покровское-Стрешнево;;Спартак;Алиа ЖК
GloraX;developer;https://www.cian.ru/sale/flat/277738124/;Москва;sale;flat;5;21;2;77.85;437636;34069999;2024;30.0;27.0;+74997057063;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
Тауэрс;developer;https://www.cian.ru/sale/flat/286264250/;Москва;sale;flat;41;66;1;51.2;854000;43724800;2020;-1;-1;+74951348365;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/285682464/;Москва;sale;flat;3;10;2;63.0;560319;35300100;2023;-1;-1;+74951389907;Беговой;Северный ао;Белорусская;Слава ЖК
ID 416302;realtor;https://www.cian.ru/sale/flat/282770702/;Москва;sale;flat;14;48;2;73.3;399727;29300000;2022;-1;-1;+79165922804;Раменки;Лобачевского;Юго-Западная;Событие
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/286944836/;Москва;sale;flat;4;6;1;76.6;2436031;186600000;2026;16.0;32.0;+74951348490;Хамовники;3-й Обыденский переулок;;Обыденский №1
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/285872837/;Москва;sale;flat;44;45;4;129.5;594636;77005462;2026;-1;-1;+74951348411;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Absolute Premium;developer;https://www.cian.ru/sale/flat/286935013/;Москва;sale;flat;2;18;1;49.8;672108;33471000;2026;11.0;-1;+74951389883;Хамовники;;Воробьёвы горы;Коллекция Лужники ЖК
Пионер;developer;https://www.cian.ru/sale/flat/283969773/;Москва;sale;flat;5;22;-1;202.0;79735;16106665;2025;-1;-1;+74992858719;Марьина роща;Полковая;Савёловская;PRIDE
MR Group;developer;https://www.cian.ru/sale/flat/285682424/;Москва;sale;flat;2;17;1;45.7;631196;28845672;2023;-1;-1;+74951389907;Беговой;Северный ао;Белорусская;Слава ЖК
VOSHOD;developer;https://www.cian.ru/sale/flat/285674290/;Москва;sale;flat;11;17;-1;202.0;179134;36185160;2024;-1;-1;+74997040910;Филевский парк;Василисы Кожиной;Филёвский парк;AHEAD
MR Group;developer;https://www.cian.ru/sale/flat/283864406/;Москва;sale;flat;20;57;-1;202.0;103154;20837134;2023;-1;-1;+74951346550;Филевский парк;;Фили;Фили Сити ЖК
Forma;developer;https://www.cian.ru/sale/flat/280467174/;Москва;sale;flat;24;26;-1;202.0;140161;28312650;2025;11.0;8.0;+74951349085;Пресненский;;Белорусская;Репаблик ЖК
Пионер;developer;https://www.cian.ru/sale/flat/283250324/;Москва;sale;flat;5;11;1;55.8;763221;42587787;2025;-1;-1;+74951389882;Даниловский;Дербеневская;Павелецкая;OPUS
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260699/;Москва;sale;flat;37;45;-1;202.0;226148;45682061;2026;-1;-1;+74951348411;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
VESPER;developer;https://www.cian.ru/sale/flat/270237518/;Москва;sale;flat;2;21;-1;-1;-55777772;55777772;2023;-1;-1;+74951389961;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
GRAVION;developer;https://www.cian.ru/sale/flat/284824189/;Москва;sale;flat;2;9;1;53.17;1036122;55090638;2023;-1;-1;+74997047064;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
MR Group;developer;https://www.cian.ru/sale/flat/273739894/;Москва;sale;flat;12;41;-1;202.0;138032;27882490;2023;-1;-1;+74951346786;Раменки;1-й Сетуньский проезд;Лужники;Hide
ASTERUS;developer;https://www.cian.ru/sale/flat/274202238/;Москва;sale;flat;5;25;2;72.85;369200;26896220;2023;-1;-1;+74951374983;Покровское-Стрешнево;;Спартак;Алиа ЖК
ID 416302;realtor;https://www.cian.ru/sale/flat/286677063/;Москва;sale;flat;2;7;2;124.2;1268913;157599069;2015;72.0;17.0;+79099971829;Хамовники;Ефремова;Фрунзенская;Knightsbridge Private Park
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/274260531/;Москва;sale;flat;5;45;-1;202.0;240717;48624891;2026;-1;-1;+74951348411;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
GloraX;developer;https://www.cian.ru/sale/flat/277738052/;Москва;sale;flat;3;21;3;91.13;417425;38039999;2024;45.0;28.0;+74997057063;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
